金洋機車行;苗栗縣頭份鎮中正路288號;037-685576
振順機車行;苗栗縣頭份鎮忠孝里信東路２５１號;037-676062
桔子二輪坊;苗栗縣頭份鎮和平里中華路860號;037-680285
健成機車行;苗栗縣頭份鎮斗煥里中正二路259號;037-672713
晨峰機車行;苗栗縣頭份鎮信東路二段196號;037-668660
煥達機車行;苗栗縣頭份鎮田寮里18鄰蘆竹路336號;037-635055
萬國機車行;苗栗縣頭份鎮忠孝里中華路1125號;037-662131
維順機車行;苗栗縣頭份鎮中正三路36號;037-601414
增欣企業股份有限公司;苗栗縣頭份鎮中華路5鄰1012號;037-663313
全輪機車行;苗栗縣三灣鄉中正路198號;037-831038
新南庄機車行;苗栗縣南庄鄉西村1鄰中山路2號;037-822216
騰翔機車行;苗栗縣南庄鄉東村9鄰中正路82號;037-822222
宜昌輪業有限公司;苗栗縣後龍鎮中山路6鄰22號;037-722338
明輪機車行;苗栗縣後龍鎮成功路１１６號;037-727543
寶輪機車行;苗栗縣後龍鎮中華路7鄰22號;037-723078
大震機車行;苗栗縣通霄鎮通西里23鄰中山路53號;037-752378
永亨輪業有限公司;苗栗縣通霄鎮平元里19鄰南和路１段5號;037-756888
永信機車行;苗栗縣通霄鎮中山路135號;037-751927
原大同機車行;苗栗縣通霄鎮白東里16鄰117-1號;037-793366
啟超機車行;苗栗縣通霄鎮中山路21鄰122號;037-752072
鴻億輪業行;苗栗縣通霄鎮通西里30鄰信義路61號;037-754889
大同機車行;苗栗縣苑裡鎮苑北里21鄰中山路239號;037-861134
永昌機車行;苗栗縣苑裡鎮中山路1鄰133-3號;037-863848
全順機車行;苗栗縣苑裡鎮田心里６鄰７７－１號;037-853818
明村機車行;苗栗縣苑裡鎮苑南里２鄰建國路５號;037-865530
東榮車業行;苗栗縣苑裡鎮中正里12鄰世界路102號;037-867345
錦達機車行;苗栗縣苑裡鎮山腳里167號;037-740968
五群機車行;苗栗縣苗栗市福星里福星街180號;037-269674
永興車業行;苗栗縣苗栗市為公路6鄰161號;037-270102
忠暘車業股份有限公司;苗栗縣苗栗市福麗里32鄰99-3號;037-325588
冠榮機車行;苗栗縣苗栗市福麗里至公路228號1樓;037-320697
家浤車業行;苗栗縣苗栗市中正路6鄰1300號;037-325792
翊富機車行;苗栗縣苗栗市為公路401號;037-267598
超群輪業車行;苗栗縣苗栗市中正路494號;037-324191
敬悅(尚銳)機車行;苗栗縣苗栗市恭敬里信義街17號1樓;037-359290
福星機車行;苗栗縣苗栗市福星里22鄰中華路198號;037-272581
德昌機車行;苗栗縣苗栗市新東街28鄰146號;037-355928
大坪機車行;苗栗縣造橋鄉十字路8鄰72號;037-541877
永鴻機車行;苗栗縣造橋鄉朝陽村朝陽路123號;037-563278
詮?輪業行;苗栗縣造橋鄉造橋鄉平仁路1鄰7號;037-563609
國民機車行;苗栗縣頭屋鄉尖豐路１０５號;037-251448
泉盛車行;苗栗縣公館鄉五谷村12鄰51號;037-226804
德明機車行;苗栗縣公館鄉通明街39號;037-225767
宏輪機車行;苗栗縣大湖鄉明湖村6鄰中原路24號;037-991526
信達機車行;苗栗縣大湖鄉中山路72號;037-995220
宏晟機車行;苗栗縣銅鑼鄉中正路５０號;037-980909
忠輪車業行;苗栗縣銅鑼鄉銅鑼村新興路８２巷２－１號;037-984050
紅龍機車行;苗栗縣銅鑼鄉永樂路40號;037-985252
榮康輪業行;苗栗縣銅鑼鄉中正路10鄰137號;037-981909
成都機車行;苗栗縣三義鄉雙湖村16鄰92號;037-872518
振東機車行;苗栗縣卓蘭鎮豐田2之3號;04-25896536
十甲車業行;台中市東區十甲路357號;04-22138643
日新機車行;台中市東區台中路324號;04-22876523
南輪車行;台中市東區振興路2-8號;04-22252407
宥任車業有限公司;台中市東區自由路３段225號;04-22139139
國暉輪業有限公司;台中市東區精武東路127號;04-22125370
新森田機車行;台中市東區忠孝路378號;04-22802212
瑞鎰車業商行;台中市東區東勢里進化路207-4號;04-23602043
榮田機車行;台中市東區十甲路136-2號;04-22139607
榮豐機車行;台中市東區忠孝路469號;04-22832435
龍祥機車行;台中市東區東門路24號;04-22803912
三本機車行;台中市南區南平路77號;04-22616420
大宇車料行;台中市南區正義街18號;04-22230603
升暉車業;台中市南區忠明南路1251號;04-22858591
加利機車店;台中市南區南門路82號;04-22859998
台豐機車行;台中市南區復興路3段475號1樓;04-22233001
吉豐車行;台中市南區復興路2段36-6號;04-22610387
宏興機車行;台中市南區三民西路348號;04-23760361
宥信機車行;台中市南區工學路59巷3號;04-22609409
展昌機車行;台中市南區建成路1802號;04-22870252
高順機車行;台中市南區復興路3段155號;04-22293070
順和興機行;台中市南區高工路361號;04-22629171
順駿車業有限公司;台中市南區國光路483號;04-22862508
暉凡車業有限公司;台中市南區大慶街2段1-7號;04-22630575
楓達車業行;台中市南區大慶街二段7巷30號之1;04-22607816
瑞安輪業商行;台中市南區南和路136號１樓;04-22627522
樺鴻輪業行;台中市南區南平路15號;04-22618535
鴻運輪業行;台中市南區崇倫街207號;04-23717669
儷豐輪業有限公司;台中市南區五權南路280號;04-22616045
